test_id,audio_path,filename,duration,sample_rate,channels,priority,language,speaker_type,speaker_id,device_chain,platform,recording_condition,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,origin_binary,manipulation_binary,partial_fabrication_binary,partial_fabrication_detected,suspicious_start_time,suspicious_end_time,expected_forensic_result,notes,prediction,decision_score,effective_threshold,confidence,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,product_status,origin_confusion,manipulation_detected,segment_suspicious,file_level_missed_but_segment_suspicious,suspicious_chunk_ratio,max_chunk_spoof,inside_region_dominant_attack,partial_region_detected,final_product_interpretation,label_source,review_status,label_confidence,use_for_training,use_for_validation,use_for_testing,exclusion_reason,dataset_role,training_readiness,training_warning
T1.1,E:\FYP\testing_audios\T1\T1.1.mp3,T1.1.mp3,31.728,48000,2,P0,urdu,local_speaker,local_speaker_urdu,mobile_direct,none,clean_direct,human,clean_direct,human,clean,human_likely,clean_original,bonafide,inconclusive,human,clean,0,False,,,Should not be called AI fake,Clean human direct mobile recording (Urdu/Pakistani local),FAKE,0.7,0.7,0.7,synthesis,0.6629205346107483,0.2119437903165817,0.6629205346107483,0.115102931857109,0.0100327646359801,clean_human_borderline,False,True,True,False,0.7,0.9999979734420776,,False,"T1.1: clean_human_borderline; whole-file FAKE (score=0.700). Chunks: 7 suspicious / 10 used (ratio=0.70, max=0.9999979734420776).",manual_phase7a,needs_review,medium,False,False,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T1.2,E:\FYP\testing_audios\T1\T1.2.mp3,T1.2.mp3,118.976,44100,2,P0,english,known_public,known_public_english,studio_podcast,none,clean_direct,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,human,clean,0,False,,,Avoid false positive on clean audio,Clean studio/podcast human voice,REAL,0.6153846153846154,0.7,0.3846153846153846,conversion,0.474264532327652,0.4299594759941101,0.0957734733819961,0.474264532327652,2.449615521982196e-06,clean_human_accepted,False,False,True,False,0.6153846153846154,0.9999998807907104,,False,"T1.2: clean_human_accepted; whole-file REAL (score=0.615). Chunks: 24 suspicious / 39 used (ratio=0.62, max=0.9999998807907104).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T1.3,E:\FYP\testing_audios\T1\T1.3.mp3,T1.3.mp3,25.864,44100,1,P0,english,unknown,unknown_english,tts_direct,none,clean_direct,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,medium,ai,clean,0,False,,,Should detect as spoof,Direct AI TTS MP3,REAL,0.4285714285714285,0.7,0.5714285714285714,bonafide,0.5338310599327087,0.5338310599327087,0.0621205978095531,0.4040480554103851,2.696243086575123e-07,direct_ai_file_level_missed_but_segment_suspicious,False,False,True,True,0.4285714285714285,1.0,,False,"T1.3: direct_ai_file_level_missed_but_segment_suspicious; whole-file REAL (score=0.429). Whole-file vote is below threshold, but multiple suspicious chunks are present. Manual review or segment-level report is recommended. Exploratory top candidate region: 12.0-19.0s (max chunk spoof=1.000). Chunks: 3 suspicious / 7 used (ratio=0.43, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T1.4,E:\FYP\testing_audios\T1\T1.4.mp3,T1.4.mp3,27.518,44100,1,P0,english,unknown,unknown_english,voice_clone_direct,none,clean_direct,ai,clean_direct,ai,clean,ai_likely,clean_original,voice_conversion,high,ai,clean,0,False,,,Should detect as spoof,Direct voice cloned speech,FAKE,0.875,0.7,0.875,conversion,0.8538315892219543,0.1351617723703384,0.0110061503946781,0.8538315892219543,5.01890554005513e-07,direct_ai_detected,False,True,True,False,0.875,1.0,,False,"T1.4: direct_ai_detected; whole-file FAKE (score=0.875). Chunks: 7 suspicious / 8 used (ratio=0.88, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T1.5,E:\FYP\testing_audios\T1\T1.5.wav,T1.5.wav,23.589,44100,1,P1,english,unknown,unknown_english,tts_to_wav,none,clean_direct,ai,clean_direct,ai,processed,ai_likely,clean_original,synthesis,medium,ai,clean,0,False,,,Should detect as spoof,AI TTS converted to WAV,REAL,0.4285714285714285,0.7,0.5714285714285714,bonafide,0.5457640886306763,0.5457640886306763,0.05902985855937,0.3952057957649231,2.92375574417747e-07,direct_ai_file_level_missed_but_segment_suspicious,False,False,True,True,0.4285714285714285,1.0,,False,"T1.5: direct_ai_file_level_missed_but_segment_suspicious; whole-file REAL (score=0.429). Whole-file vote is below threshold, but multiple suspicious chunks are present. Manual review or segment-level report is recommended. Exploratory top candidate region: 12.0-19.0s (max chunk spoof=1.000). Chunks: 3 suspicious / 7 used (ratio=0.43, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T2.1,E:\FYP\testing_audios\T2\T2.1.mp3,T2.1.mp3,30.456,48000,2,P0,urdu,local_speaker,local_speaker_urdu,laptop_speaker_to_mobile,none,human_replay,human,human_replay,human,replayed,human_likely,replayed_or_re_recorded,replay,high,human,manipulated,0,False,,,Should stay human-likely (not AI fake),Human played on laptop recorded on mobile,FAKE,1.0,0.7,1.0,replay,0.8888113498687744,0.0016692018834874,0.1095018163323402,1.762505416991189e-05,0.8888113498687744,processed_human_manipulation_detected,True,True,True,False,1.0,1.0,,False,"T2.1: processed_human_manipulation_detected; whole-file FAKE (score=1.000). Origin confusion: FAKE label on human-origin processed audio (manipulation signal useful). Manipulation/channel sensitivity detected despite human origin. Chunks: 9 suspicious / 9 used (ratio=1.00, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T2.2,E:\FYP\testing_audios\T2\T2.2.mp3,T2.2.mp3,31.608,48000,2,P0,urdu,local_speaker,local_speaker_urdu,laptop_mixer_mobile,none,mixer_processed,human,mixer_processed,human,processed,human_likely,channel_processed,unknown,medium,human,manipulated,0,False,,,Avoid false FAKE on processed human,Human through laptop + mixer + mobile,FAKE,0.9,0.7,0.9,synthesis,0.7449864149093628,0.0894245058298111,0.7449864149093628,0.1635377556085586,0.0020512780174613,processed_human_manipulation_detected,True,True,True,False,0.9,0.9999985694885254,,False,"T2.2: processed_human_manipulation_detected; whole-file FAKE (score=0.900). Origin confusion: FAKE label on human-origin processed audio (manipulation signal useful). Manipulation/channel sensitivity detected despite human origin. Chunks: 9 suspicious / 10 used (ratio=0.90, max=0.9999985694885254).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T2.3,E:\FYP\testing_audios\T2\T2.3.mp3,T2.3.mp3,30.312,48000,2,P1,urdu,local_speaker,local_speaker_urdu,phone_to_phone,none,human_replay,human,human_replay,human,replayed,human_likely,replayed_or_re_recorded,replay,high,human,manipulated,0,False,,,Should stay human-likely,Human phone-to-phone replay,FAKE,1.0,0.7,1.0,replay,0.7457705140113831,0.0069224759936332,0.247203528881073,0.0001035137902363,0.7457705140113831,processed_human_manipulation_detected,True,True,True,False,1.0,1.0,,False,"T2.3: processed_human_manipulation_detected; whole-file FAKE (score=1.000). Origin confusion: FAKE label on human-origin processed audio (manipulation signal useful). Manipulation/channel sensitivity detected despite human origin. Chunks: 8 suspicious / 8 used (ratio=1.00, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T2.4,E:\FYP\testing_audios\T2\T2.4.mp4,T2.4.mp4,32.3,48000,2,P1,urdu,local_speaker,local_speaker_urdu,bluetooth_speaker_mobile,none,human_replay,human,human_replay,human,replayed,human_likely,replayed_or_re_recorded,replay,high,human,manipulated,0,False,,,Should stay human-likely,Human Bluetooth speaker replay,FAKE,1.0,0.7,1.0,replay,0.7531183362007141,0.0067993104457855,0.2400805950164795,1.7908760128193537e-06,0.7531183362007141,processed_human_manipulation_detected,True,True,True,False,1.0,1.0,,False,"T2.4: processed_human_manipulation_detected; whole-file FAKE (score=1.000). Origin confusion: FAKE label on human-origin processed audio (manipulation signal useful). Manipulation/channel sensitivity detected despite human origin. Chunks: 10 suspicious / 10 used (ratio=1.00, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T2.5,E:\FYP\testing_audios\T2\T2.5.mp3,T2.5.mp3,31.608,48000,2,P2,urdu,local_speaker,local_speaker_urdu,laptop_speaker_mobile_noisy,none,human_replay,human,human_replay,human,replayed,human_likely,replayed_or_re_recorded,replay,high,human,manipulated,0,False,,,Should stay human-likely,Human replay with fan/background noise,FAKE,1.0,0.7,1.0,synthesis,0.7433976531028748,0.0227152593433856,0.7433976531028748,0.2338080704212188,7.903508958406746e-05,processed_human_manipulation_detected,True,True,True,False,1.0,0.9999998807907104,,False,"T2.5: processed_human_manipulation_detected; whole-file FAKE (score=1.000). Origin confusion: FAKE label on human-origin processed audio (manipulation signal useful). Manipulation/channel sensitivity detected despite human origin. Chunks: 10 suspicious / 10 used (ratio=1.00, max=0.9999998807907104).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T3.1,E:\FYP\testing_audios\T3\T3.1.mp3,T3.1.mp3,25.864,44100,1,P0,english,unknown,unknown_english,ai_direct_file,none,clean_direct,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,medium,ai,clean,0,False,,,Should detect as spoof,AI voice direct file,REAL,0.4285714285714285,0.7,0.5714285714285714,bonafide,0.5338310599327087,0.5338310599327087,0.0621205978095531,0.4040480554103851,2.696243086575123e-07,direct_ai_file_level_missed_but_segment_suspicious,False,False,True,True,0.4285714285714285,1.0,,False,"T3.1: direct_ai_file_level_missed_but_segment_suspicious; whole-file REAL (score=0.429). Whole-file vote is below threshold, but multiple suspicious chunks are present. Manual review or segment-level report is recommended. Exploratory top candidate region: 12.0-19.0s (max chunk spoof=1.000). Chunks: 3 suspicious / 7 used (ratio=0.43, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T3.2,E:\FYP\testing_audios\T3\T3.2.mp3,T3.2.mp3,24.864,48000,2,P0,english,unknown,unknown_english,laptop_speaker_to_mobile,none,ai_replay,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,False,,,Should detect spoof + replay hints,AI played on laptop recorded on mobile,FAKE,1.0,0.7,1.0,conversion,0.7159633636474609,0.002147989347577,0.2818818688392639,0.7159633636474609,6.802729785704287e-06,ai_replay_or_processed_detected,False,True,True,False,1.0,1.0,,False,"T3.2: ai_replay_or_processed_detected; whole-file FAKE (score=1.000). Chunks: 7 suspicious / 7 used (ratio=1.00, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T3.3,E:\FYP\testing_audios\T3\T3.3.mp4,T3.3.mp4,25.5,48000,2,P1,english,unknown,unknown_english,bluetooth_speaker,none,ai_replay,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,False,,,Should detect as spoof,AI through Bluetooth speaker,FAKE,1.0,0.7,1.0,conversion,0.6286113858222961,0.0083539392799139,0.3630331456661224,0.6286113858222961,1.5707245211160623e-06,ai_replay_or_processed_detected,False,True,True,False,1.0,0.9999997615814208,,False,"T3.3: ai_replay_or_processed_detected; whole-file FAKE (score=1.000). Chunks: 7 suspicious / 7 used (ratio=1.00, max=0.9999997615814209).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T3.4,E:\FYP\testing_audios\T3\T3.4.mp3,T3.4.mp3,26.328,48000,2,P1,english,unknown,unknown_english,mixer_then_mobile,none,mixer_processed,ai,mixer_processed,ai,processed,ai_likely,channel_processed,voice_conversion,medium,ai,manipulated,0,False,,,Should detect as spoof,AI through mixer then mobile,FAKE,1.0,0.7,1.0,synthesis,0.5236398577690125,0.1146296188235282,0.5236398577690125,0.35395148396492,0.0077790198847651,ai_replay_or_processed_detected,False,True,True,False,1.0,1.0,,False,"T3.4: ai_replay_or_processed_detected; whole-file FAKE (score=1.000). Chunks: 8 suspicious / 8 used (ratio=1.00, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
