test_id,audio_path,segment_id,segment_start_time,segment_end_time,segment_label,segment_origin_label,segment_manipulation_label,segment_attack_hint,segment_risk_level,parent_origin_label,parent_manipulation_label,parent_attack_hint,parent_risk_level,source,notes,use_for_training
T1.2,E:\FYP\testing_audios\T1\T1.2.mp3,T1.2_full,0.0,118.976,full_file_clean,human_likely,clean_original,bonafide,low,human_likely,clean_original,bonafide,low,phase7b_rules,Whole-file segment for non-partial sample,False
T1.3,E:\FYP\testing_audios\T1\T1.3.mp3,T1.3_full,0.0,25.864,full_file_clean,ai_likely,clean_original,synthesis,medium,ai_likely,clean_original,synthesis,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T1.4,E:\FYP\testing_audios\T1\T1.4.mp3,T1.4_full,0.0,27.518,full_file_clean,ai_likely,clean_original,voice_conversion,high,ai_likely,clean_original,voice_conversion,high,phase7b_rules,Whole-file segment for non-partial sample,False
T1.5,E:\FYP\testing_audios\T1\T1.5.wav,T1.5_full,0.0,23.589,full_file_clean,ai_likely,clean_original,synthesis,medium,ai_likely,clean_original,synthesis,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T2.1,E:\FYP\testing_audios\T2\T2.1.mp3,T2.1_full,0.0,30.456,full_file_manipulated,human_likely,replayed_or_re_recorded,replay,high,human_likely,replayed_or_re_recorded,replay,high,phase7b_rules,Whole-file segment for non-partial sample,False
T2.2,E:\FYP\testing_audios\T2\T2.2.mp3,T2.2_full,0.0,31.608,full_file_manipulated,human_likely,channel_processed,unknown,medium,human_likely,channel_processed,unknown,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T2.3,E:\FYP\testing_audios\T2\T2.3.mp3,T2.3_full,0.0,30.312,full_file_manipulated,human_likely,replayed_or_re_recorded,replay,high,human_likely,replayed_or_re_recorded,replay,high,phase7b_rules,Whole-file segment for non-partial sample,False
T2.4,E:\FYP\testing_audios\T2\T2.4.mp4,T2.4_full,0.0,32.3,full_file_manipulated,human_likely,replayed_or_re_recorded,replay,high,human_likely,replayed_or_re_recorded,replay,high,phase7b_rules,Whole-file segment for non-partial sample,False
T2.5,E:\FYP\testing_audios\T2\T2.5.mp3,T2.5_full,0.0,31.608,full_file_manipulated,human_likely,replayed_or_re_recorded,replay,high,human_likely,replayed_or_re_recorded,replay,high,phase7b_rules,Whole-file segment for non-partial sample,False
T3.1,E:\FYP\testing_audios\T3\T3.1.mp3,T3.1_full,0.0,25.864,full_file_clean,ai_likely,clean_original,synthesis,medium,ai_likely,clean_original,synthesis,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T3.2,E:\FYP\testing_audios\T3\T3.2.mp3,T3.2_full,0.0,24.864,full_file_manipulated,ai_likely,replayed_or_re_recorded,replay,high,ai_likely,replayed_or_re_recorded,replay,high,phase7b_rules,Whole-file segment for non-partial sample,False
T3.3,E:\FYP\testing_audios\T3\T3.3.mp4,T3.3_full,0.0,25.5,full_file_manipulated,ai_likely,replayed_or_re_recorded,replay,high,ai_likely,replayed_or_re_recorded,replay,high,phase7b_rules,Whole-file segment for non-partial sample,False
T3.4,E:\FYP\testing_audios\T3\T3.4.mp3,T3.4_full,0.0,26.328,full_file_manipulated,ai_likely,channel_processed,voice_conversion,medium,ai_likely,channel_processed,voice_conversion,medium,phase7b_rules,Whole-file segment for non-partial sample,False
