sample_id,audio_path,base_id,variant_id,speaker_id,speaker_gender,language,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,split,split_group_id,prediction,confidence,decision_score,effective_threshold,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,n_chunks_used,n_chunks_total,suspicious_chunk_count,suspicious_chunk_ratio,max_chunk_spoof,mean_chunk_spoof,median_chunk_spoof,dominant_chunk_attack,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,partial_region_detected,baseline_status,final_baseline_interpretation,error
ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,base_001,ai_direct,speaker_001,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_001,REAL,0.8888888888888888,0.1111111111111111,0.7,bonafide,0.7265095710754395,0.7265095710754395,0.2722426652908325,0.00022473529679700732,0.0010229760082438588,18,18,2,0.1111111111111111,0.998121440410614,0.16342899103254982,0.00608995882794261,bonafide,0,0,,,,,,,False,direct_ai_file_level_missed_but_segment_suspicious,Direct AI file-level REAL but segment-suspicious chunks (max spoof elevated).,
ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,base_001,ai_fabricated,speaker_001,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,18.024,27.818,train,base_001,REAL,0.8095238095238095,0.19047619047619047,0.7,bonafide,0.6294240951538086,0.6294240951538086,0.36895951628685,0.0004000748449470848,0.0012162638595327735,21,21,4,0.19047619047619047,0.9994274377822876,0.2558085762282125,0.008711383678019047,bonafide,5,16,0.5572553929407149,0.16160644600555552,0.9994274377822876,0.992046594619751,synthesis,bonafide,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,base_001,ai_mixer_processed,speaker_001,unknown,unknown,ai,mixer_processed,ai,processed,ai_likely,channel_processed,synthesis,high,0,,,train,base_001,FAKE,1.0,1.0,0.7,synthesis,0.7062103152275085,0.06070629134774208,0.7062103152275085,1.2958396837348118e-05,0.233070507645607,18,18,18,1.0,0.9999998807907104,0.9724718100494809,0.9987078905105591,synthesis,0,0,,,,,,,False,ai_mixer_detected,"AI mixer detected (FAKE, score=1.000).",
ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,base_001,ai_replay_laptop_mobile,speaker_001,unknown,unknown,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,0,,,train,base_001,REAL,0.9444444444444444,0.05555555555555555,0.7,bonafide,0.7455391883850098,0.7455391883850098,0.21722930669784546,0.0008250264800153673,0.03640654310584068,18,18,1,0.05555555555555555,0.7904493808746338,0.15788722902329433,0.06664815545082092,bonafide,0,0,,,,,,,False,ai_replay_missed,AI replay missed at file level (score=0.056).,
human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,base_001,human_clean,speaker_001,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_001,FAKE,0.7692307692307693,0.7692307692307693,0.7,synthesis,0.8525853753089905,0.1446649730205536,0.8525853753089905,0.0007345638587139547,0.0020150886848568916,13,13,10,0.7692307692307693,0.9954615235328674,0.761433142882127,0.8972460627555847,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.769).,
human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,base_001,human_fabricated,speaker_001,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,16.049,24.293,train,base_001,REAL,0.375,0.625,0.7,synthesis,0.7662146687507629,0.22821544110774994,0.7662146687507629,0.0007092514424584806,0.004860603716224432,16,16,10,0.625,0.9914391040802002,0.6525596436217711,0.8236125111579895,synthesis,4,12,0.1563116684974375,0.8179756353298823,0.36681652069091797,0.9914391040802002,bonafide,synthesis,False,partial_fabrication_missed,Partial fabrication: region-level detection criteria not met (file-level label secondary).,
human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,base_001,human_mixer_processed,speaker_001,unknown,unknown,human,mixer_processed,human,processed,human_likely,channel_processed,unknown,medium,0,,,train,base_001,FAKE,1.0,1.0,0.7,replay,0.5122755169868469,0.0016608999576419592,0.4860635995864868,1.6146674275407946e-11,0.5122755169868469,13,13,13,1.0,1.0,0.999997432415302,1.0,replay,0,0,,,,,,,False,human_mixer_manipulation_detected,"Human mixer channel manipulation detected (FAKE, score=1.000).",
human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,base_001,human_replay_laptop_mobile,speaker_001,unknown,unknown,human,human_replay,human,replayed,human_likely,replayed_or_re_recorded,replay,medium,0,,,train,base_001,FAKE,1.0,1.0,0.7,synthesis,0.498894602060318,0.043269313871860504,0.498894602060318,1.5493087630602531e-06,0.45783454179763794,10,10,10,1.0,0.9999969005584717,0.9433209776878357,0.9995188117027283,synthesis,0,0,,,,,,,False,human_replay_manipulation_detected,"Human replay manipulation signal detected (FAKE, score=1.000).",
ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,base_002,ai_direct,speaker_002,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.8563957810401917,0.8563957810401917,0.14279893040657043,0.0005380684742704034,0.00026718960725702345,13,13,0,0.0,0.5991040468215942,0.06966509023622955,0.00016474656877107918,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,base_002,ai_fabricated,speaker_002,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,35.741,42.331,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.8225129246711731,0.8225129246711731,0.17668940126895905,0.000251792895141989,0.0005457904771901667,15,15,0,0.0,0.5861379504203796,0.07168199053076166,0.00043393249507062137,bonafide,4,11,0.1913638425830868,0.02816131705718887,0.5861379504203796,0.2403285950422287,bonafide,bonafide,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
