sample_id,audio_path,base_id,variant_id,speaker_id,speaker_gender,language,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,split,split_group_id,prediction,confidence,decision_score,effective_threshold,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,n_chunks_used,n_chunks_total,suspicious_chunk_count,suspicious_chunk_ratio,max_chunk_spoof,mean_chunk_spoof,median_chunk_spoof,dominant_chunk_attack,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,partial_region_detected,baseline_status,final_baseline_interpretation,error
ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,base_001,ai_direct,speaker_001,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_001,REAL,0.8333333333333334,0.16666666666666666,0.7,bonafide,0.6147239208221436,0.6147239208221436,0.3826765716075897,0.001123035792261362,0.0014763206709176302,18,18,3,0.16666666666666666,0.9991306662559509,0.2562304963996256,0.056779446080327034,bonafide,0,0,,,,,,,False,direct_ai_file_level_missed_but_segment_suspicious,Direct AI file-level REAL but segment-suspicious chunks (max spoof elevated).,
ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,base_001,ai_fabricated,speaker_001,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,18.024,27.818,train,base_001,REAL,0.7142857142857143,0.2857142857142857,0.7,bonafide,0.5692985653877258,0.5692985653877258,0.42728379368782043,0.00048579875146970153,0.0029318195302039385,21,21,6,0.2857142857142857,0.9994857311248779,0.32619504317352993,0.060863446444272995,bonafide,5,16,0.6171985210850834,0.23525645632616943,0.9994857311248779,0.9937222599983215,synthesis,bonafide,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,base_001,ai_mixer_processed,speaker_001,unknown,unknown,ai,mixer_processed,ai,processed,ai_likely,channel_processed,synthesis,high,0,,,train,base_001,FAKE,1.0,1.0,0.7,synthesis,0.926177442073822,0.015858184546232224,0.926177442073822,9.026589395944029e-06,0.057955339550971985,18,18,18,1.0,1.0,0.9900351729657915,0.9994992017745972,synthesis,0,0,,,,,,,False,ai_mixer_detected,"AI mixer detected (FAKE, score=1.000).",
ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,base_001,ai_replay_laptop_mobile,speaker_001,unknown,unknown,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,0,,,train,base_001,REAL,0.9444444444444444,0.05555555555555555,0.7,bonafide,0.7032158970832825,0.7032158970832825,0.2377322018146515,0.0005964363808743656,0.05845548212528229,18,18,1,0.05555555555555555,0.8441522121429443,0.21160805173632172,0.11618537455797195,bonafide,0,0,,,,,,,False,ai_replay_missed,AI replay missed at file level (score=0.056).,
human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,base_001,human_clean,speaker_001,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_001,FAKE,0.8461538461538461,0.8461538461538461,0.7,synthesis,0.8711650371551514,0.12481629848480225,0.8711650371551514,0.00038859277265146375,0.003630114486441016,13,13,11,0.8461538461538461,0.9972744584083557,0.7942716685625223,0.9020070433616638,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.846).,
human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,base_001,human_fabricated,speaker_001,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,16.049,24.293,train,base_001,REAL,0.3125,0.6875,0.7,synthesis,0.7545722126960754,0.22808699309825897,0.7545722126960754,0.0006541344337165356,0.016686556860804558,16,16,11,0.6875,0.9937829375267029,0.697195435886897,0.8722870051860809,synthesis,4,12,0.25641483818617417,0.844122301787138,0.5499125719070435,0.9937829375267029,bonafide,synthesis,False,partial_fabrication_missed,Partial fabrication: region-level detection criteria not met (file-level label secondary).,
human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,base_001,human_mixer_processed,speaker_001,unknown,unknown,human,mixer_processed,human,processed,human_likely,channel_processed,unknown,medium,0,,,train,base_001,FAKE,1.0,1.0,0.7,synthesis,0.615084707736969,0.00021931655646767467,0.615084707736969,3.1558896121386404e-12,0.38469597697257996,13,13,13,1.0,1.0,0.9999984319393451,1.0,synthesis,0,0,,,,,,,False,human_mixer_manipulation_detected,"Human mixer channel manipulation detected (FAKE, score=1.000).",
human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,base_001,human_replay_laptop_mobile,speaker_001,unknown,unknown,human,human_replay,human,replayed,human_likely,replayed_or_re_recorded,replay,medium,0,,,train,base_001,FAKE,1.0,1.0,0.7,synthesis,0.5592746138572693,0.04836289957165718,0.5592746138572693,9.060846650754684e-07,0.392361581325531,10,10,10,1.0,0.9999967813491821,0.9656155943870545,0.9997538924217224,synthesis,0,0,,,,,,,False,human_replay_manipulation_detected,"Human replay manipulation signal detected (FAKE, score=1.000).",
ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,base_002,ai_direct,speaker_002,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_002,REAL,0.9230769230769231,0.07692307692307693,0.7,bonafide,0.8093841075897217,0.8093841075897217,0.1891627162694931,0.0007513229502364993,0.0007019010954536498,13,13,1,0.07692307692307693,0.7493624091148376,0.11851126897575061,0.0030634168069809675,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.077).",
ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,base_002,ai_fabricated,speaker_002,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,35.741,42.331,train,base_002,REAL,0.9333333333333333,0.06666666666666667,0.7,bonafide,0.7499568462371826,0.7499568462371826,0.24771517515182495,0.0006693940376862884,0.0016585245030000806,15,15,1,0.06666666666666667,0.7531944513320923,0.13174388524803363,0.005353646818548441,bonafide,4,11,0.29028509970521554,0.0740925345363311,0.7531944513320923,0.6085649728775024,synthesis,bonafide,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
