sample_id,audio_path,base_id,variant_id,speaker_id,speaker_gender,language,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,split,split_group_id,prediction,confidence,decision_score,effective_threshold,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,n_chunks_used,n_chunks_total,suspicious_chunk_count,suspicious_chunk_ratio,max_chunk_spoof,mean_chunk_spoof,median_chunk_spoof,dominant_chunk_attack,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,partial_region_detected,baseline_status,final_baseline_interpretation,error
ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,base_001,ai_direct,speaker_001,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_001,REAL,1.0,0.0,0.7,bonafide,0.9191296100616455,0.9191296100616455,0.07911886274814606,0.00072140694828704,0.0010301824659109116,18,18,0,0.0,0.5497312545776367,0.0401422819661674,0.003107574535533786,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,base_001,ai_fabricated,speaker_001,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,18.024,27.818,train,base_001,REAL,0.9047619047619048,0.09523809523809523,0.7,bonafide,0.8723130822181702,0.8723130822181702,0.1259828805923462,0.0002005758578889072,0.0015034119132906199,21,21,2,0.09523809523809523,0.8262916803359985,0.0910406913917798,0.002269468503072858,bonafide,5,16,0.19390945485793054,0.05889420280860769,0.8121234178543091,0.8262916803359985,bonafide,bonafide,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,base_001,ai_mixer_processed,speaker_001,unknown,unknown,ai,mixer_processed,ai,processed,ai_likely,channel_processed,synthesis,high,0,,,train,base_001,REAL,0.8888888888888888,0.1111111111111111,0.7,bonafide,0.5868912935256958,0.5868912935256958,0.12579965591430664,0.000710780150257051,0.286598265171051,18,18,2,0.1111111111111111,0.7263770699501038,0.2744894952823718,0.25146543979644775,bonafide,0,0,,,,,,,False,ai_mixer_missed,AI mixer missed at file level (score=0.111).,
ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,base_001,ai_replay_laptop_mobile,speaker_001,unknown,unknown,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,0,,,train,base_001,REAL,1.0,0.0,0.7,bonafide,0.972533643245697,0.972533643245697,0.022158367559313774,8.975624950835481e-05,0.005218131467700005,18,18,0,0.0,0.08701920509338379,0.015022286107220376,0.00542179960757494,bonafide,0,0,,,,,,,False,ai_replay_missed,AI replay missed at file level (score=0.000).,
human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,base_001,human_clean,speaker_001,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_001,REAL,1.0,0.0,0.7,bonafide,0.7200915813446045,0.7200915813446045,0.21784712374210358,0.000828584365081042,0.06123267859220505,13,13,0,0.0,0.2885189950466156,0.13368435112687832,0.1388700157403946,bonafide,0,0,,,,,,,False,clean_human_accepted,Clean human accepted as REAL (score=0.000).,
human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,base_001,human_fabricated,speaker_001,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,16.049,24.293,train,base_001,REAL,1.0,0.0,0.7,bonafide,0.7731566429138184,0.7731566429138184,0.1861940324306488,0.0007418676977977157,0.039907511323690414,16,16,0,0.0,0.26564228534698486,0.10975287382825627,0.11192818358540535,bonafide,4,12,0.017057204197044484,0.14065143037199354,0.042642395943403244,0.26564228534698486,bonafide,bonafide,False,partial_fabrication_missed,Partial fabrication: region-level detection criteria not met (file-level label secondary).,
human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,base_001,human_mixer_processed,speaker_001,unknown,unknown,human,mixer_processed,human,processed,human_likely,channel_processed,unknown,medium,0,,,train,base_001,FAKE,0.8461538461538461,0.8461538461538461,0.7,replay,0.9437326192855835,0.05605849251151085,0.00020872584718745202,1.0504076897177583e-07,0.9437326192855835,13,13,11,0.8461538461538461,0.9495759606361389,0.8227811914223891,0.8516445755958557,replay,0,0,,,,,,,False,human_mixer_manipulation_detected,"Human mixer channel manipulation detected (FAKE, score=0.846).",
human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,base_001,human_replay_laptop_mobile,speaker_001,unknown,unknown,human,human_replay,human,replayed,human_likely,replayed_or_re_recorded,replay,medium,0,,,train,base_001,REAL,1.0,0.0,0.7,bonafide,0.6624222993850708,0.6624222993850708,0.15722601115703583,0.00039077276596799493,0.1799609214067459,10,10,0,0.0,0.5837669968605042,0.25138136129826305,0.178915835916996,bonafide,0,0,,,,,,,False,human_replay_missed,"Human replay manipulation not detected (REAL, score=0.000).",
ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,base_002,ai_direct,speaker_002,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.9445717930793762,0.9445717930793762,0.05404283478856087,0.00045767001574859023,0.0009276543278247118,13,13,0,0.0,0.10818894952535629,0.014796792618697579,0.00018522574100643396,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,base_002,ai_fabricated,speaker_002,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,35.741,42.331,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.946456253528595,0.946456253528595,0.05241270735859871,0.00044228986371308565,0.0006886949995532632,15,15,0,0.0,0.10885028541088104,0.014019254419777857,0.0005357805639505386,bonafide,4,11,0.013782429115963168,0.014105372712074106,0.025613917037844658,0.10885028541088104,bonafide,bonafide,False,partial_fabrication_missed,Partial fabrication: region-level detection criteria not met (file-level label secondary).,
ai_002_mixer_processed,data/phase7c1/raw/ai_mixer/ai_002_mixer_processed.wav,base_002,ai_mixer_processed,speaker_002,unknown,unknown,ai,mixer_processed,ai,processed,ai_likely,channel_processed,synthesis,high,0,,,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.6908743381500244,0.6908743381500244,0.04590116813778877,0.0005034287460148335,0.26272106170654297,12,13,0,0.0,0.60873943567276,0.22298105899244547,0.16028275340795517,bonafide,0,0,,,,,,,False,ai_mixer_missed,AI mixer missed at file level (score=0.000).,
ai_002_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_002_replay_laptop_mobile.wav,base_002,ai_replay_laptop_mobile,speaker_002,unknown,unknown,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,0,,,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.9570273160934448,0.9570273160934448,0.03072717785835266,0.00014519982505589724,0.012100360356271267,10,10,0,0.0,0.06142403930425644,0.031485161697492006,0.03384799603372812,bonafide,0,0,,,,,,,False,ai_replay_missed,AI replay missed at file level (score=0.000).,
human_002_clean,data/phase7c1/raw/human_clean/human_002_clean.wav,base_002,human_clean,speaker_002,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.8691232800483704,0.8691232800483704,0.12105070799589157,0.0007591316243633628,0.009066891856491566,11,11,0,0.0,0.14312781393527985,0.06312259458090094,0.04917643591761589,bonafide,0,0,,,,,,,False,clean_human_accepted,Clean human accepted as REAL (score=0.000).,
human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,base_002,human_fabricated,speaker_002,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,5.697,11.771,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.8816589713096619,0.8816589713096619,0.10386773198843002,0.0007356243440881371,0.013737594708800316,13,13,0,0.0,0.20537588000297546,0.0533847429144841,0.024353383108973503,bonafide,3,10,0.005878769482175509,0.06763653494417668,0.01096574030816555,0.20537588000297546,bonafide,bonafide,False,partial_fabrication_missed,Partial fabrication: region-level detection criteria not met (file-level label secondary).,
