audio_path,test_id,origin_binary,manipulation_binary,partial_fabrication_binary,origin_label,manipulation_label,attack_hint,risk_level,language,speaker_type,device_chain,platform,recording_condition,duration,sample_rate,dataset_role,training_readiness,training_warning,eligible_for_future_training,use_for_training,split_suggestion,sample_weight,holdout_training_warning,notes
E:\FYP\testing_audios\T1\T1.1.mp3,T1.1,human,clean,0,human_likely,clean_original,bonafide,inconclusive,urdu,local_speaker,mobile_direct,none,clean_direct,31.728,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,False,False,test_holdout,1.2,controlled_holdout_do_not_train,Clean human direct mobile recording (Urdu/Pakistani local)
E:\FYP\testing_audios\T1\T1.2.mp3,T1.2,human,clean,0,human_likely,clean_original,bonafide,low,english,known_public,studio_podcast,none,clean_direct,118.976,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,1.0,controlled_holdout_do_not_train,Clean studio/podcast human voice
E:\FYP\testing_audios\T1\T1.3.mp3,T1.3,ai,clean,0,ai_likely,clean_original,synthesis,medium,english,unknown,tts_direct,none,clean_direct,25.864,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,1.5,controlled_holdout_do_not_train,Direct AI TTS MP3
E:\FYP\testing_audios\T1\T1.4.mp3,T1.4,ai,clean,0,ai_likely,clean_original,voice_conversion,high,english,unknown,voice_clone_direct,none,clean_direct,27.518,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,1.0,controlled_holdout_do_not_train,Direct voice cloned speech
E:\FYP\testing_audios\T1\T1.5.wav,T1.5,ai,clean,0,ai_likely,clean_original,synthesis,medium,english,unknown,tts_to_wav,none,clean_direct,23.589,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.5,controlled_holdout_do_not_train,AI TTS converted to WAV
E:\FYP\testing_audios\T2\T2.1.mp3,T2.1,human,manipulated,0,human_likely,replayed_or_re_recorded,replay,high,urdu,local_speaker,laptop_speaker_to_mobile,none,human_replay,30.456,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,1.3,controlled_holdout_do_not_train,Human played on laptop recorded on mobile
E:\FYP\testing_audios\T2\T2.2.mp3,T2.2,human,manipulated,0,human_likely,channel_processed,unknown,medium,urdu,local_speaker,laptop_mixer_mobile,none,mixer_processed,31.608,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,1.3,controlled_holdout_do_not_train,Human through laptop + mixer + mobile
E:\FYP\testing_audios\T2\T2.3.mp3,T2.3,human,manipulated,0,human_likely,replayed_or_re_recorded,replay,high,urdu,local_speaker,phone_to_phone,none,human_replay,30.312,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.3,controlled_holdout_do_not_train,Human phone-to-phone replay
E:\FYP\testing_audios\T2\T2.4.mp4,T2.4,human,manipulated,0,human_likely,replayed_or_re_recorded,replay,high,urdu,local_speaker,bluetooth_speaker_mobile,none,human_replay,32.3,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.3,controlled_holdout_do_not_train,Human Bluetooth speaker replay
E:\FYP\testing_audios\T2\T2.5.mp3,T2.5,human,manipulated,0,human_likely,replayed_or_re_recorded,replay,high,urdu,local_speaker,laptop_speaker_mobile_noisy,none,human_replay,31.608,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.3,controlled_holdout_do_not_train,Human replay with fan/background noise
