sample_id,manipulation_type,source_origin,variant_id,calibrated_status,calibrated_risk_level,origin_hint,manipulation_hint,evidence_summary,needs_manual_review,selected_model_evidence,decision_score_baseline,decision_score_r2_product,decision_score_r2_loss,max_chunk_spoof_baseline,baseline_status_baseline,baseline_status_r2_product
ai_001_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.2777777777777778,0.1111111111111111,0.1666666666666666,0.99858957529068,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious
ai_001_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.3333333333333333,0.1904761904761904,0.2857142857142857,1.0,partial_fabrication_detected,partial_fabrication_detected
ai_001_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,high,ai_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,ai_mixer_detected,ai_mixer_detected
ai_001_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,high,ai_processed,ai_replay,baseline FAKE or score>=0.65,False,baseline,0.7222222222222222,0.0555555555555555,0.0555555555555555,0.9999610185623168,ai_replay_detected,ai_replay_missed
human_001_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,R2 product+loss and baseline all high-risk,True,"r2_product,r2_loss,baseline",0.9230769230769232,0.7692307692307693,0.8461538461538461,0.9999924898147584,clean_human_false_alarm,clean_human_false_alarm
human_001_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.9375,0.625,0.6875,0.999997615814209,partial_fabrication_detected,partial_fabrication_missed
human_001_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,high,human_processed,mixer_processed,,False,baseline,1.0,1.0,1.0,1.0,human_mixer_manipulation_detected,human_mixer_manipulation_detected
human_001_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,high,human_processed,human_replay,baseline FAKE or score>=0.65,False,baseline,1.0,1.0,1.0,1.0,human_replay_manipulation_detected,human_replay_manipulation_detected
ai_002_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,high,ai_synthetic,clean_direct_ai,baseline segment-suspicious (priority),False,baseline_segment,0.2307692307692307,0.0,0.0769230769230769,0.9983579516410828,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed
ai_002_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,high,mixed,partial_ai_insert,baseline/R2 partial region or metric threshold,False,partial,0.2666666666666666,0.0,0.0666666666666666,0.9987232089042664,partial_fabrication_detected,partial_fabrication_detected
