schema_version,file_id,audio_path,known_origin_label,known_manipulation_labels,source_dataset,split,origin_model_available,origin_feature_set,origin_ai_probability,origin_threshold_candidate,origin_evidence_label,origin_evidence_strength,origin_trace,replay_model_available,replay_feature_set,replay_probability,replay_threshold_candidate,replay_evidence_label,replay_evidence_strength,replay_trace,mixer_model_available,mixer_feature_set,mixer_probability,mixer_threshold_candidate,mixer_evidence_label,mixer_evidence_strength,mixer_trace,partial_model_available,partial_feature_set,partial_max_segment_probability,partial_mean_topk_probability,partial_candidate_segment_count,partial_predicted_candidate_count,partial_evidence_label,partial_evidence_strength,partial_top_segment_ranges,partial_trace,experimental_fusion_status,forensic_risk_level,manual_review_required,manual_review_reason,fusion_trace,forensic_summary,safe_report_text,limitations
phase8f_v1_experimental,phase7c1_collection_manifest_000000_ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,ai_synthetic,clean,phase7c1,train,true,ssl,0.9979602976781138,0.2,elevated_ai_origin_indicator,high,phase8e1 oof mean file probability,true,acoustic,0.0024117315260115,0.65,low_indicator,low,phase8e1 oof mean file probability,true,acoustic,0.0190538805776545,0.75,low_indicator,low,phase8e1 oof mean file probability,false,,,,,,not_evaluated,not_evaluated,,axis not available for this retrospective OOF fusion record,suspicious_origin_experimental,high,true,origin_ai_evidence_review,origin=high|replay=low|mixer=low|partial=not_evaluated|status=suspicious_origin_experimental|risk=high,Experimental status `suspicious_origin_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_origin_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `high` (experimental model output).
- Replay evidence strength: `low` (replay does not imply AI-generated origin).
- Mixer/channel evidence strength: `low` (mixer indicators do not imply AI-generated origin).
- Partial fabrication evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.

No segment candidate ranges are available for this file.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.",Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: partial
phase8f_v1_experimental,phase7c1_collection_manifest_000001_ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,mixed,edited_spliced;partial_fabrication,phase7c1,train,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,true,combined,0.9993731806964684,0.2873413228749771,10.0,11.0,elevated_partial_fabrication_indicator,high,20.0-24.0;16.0-20.0;22.0-26.0,from phase8e3 segment OOF and e2 candidate table,suspicious_partial_fabrication_experimental,high,true,partial_segment_evidence_review,origin=not_evaluated|replay=not_evaluated|mixer=not_evaluated|partial=high|status=suspicious_partial_fabrication_experimental|risk=high,Experimental status `suspicious_partial_fabrication_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_partial_fabrication_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Replay evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Mixer/channel evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Partial fabrication evidence strength: `high` (timestamp/segment based candidate evidence).

Candidate segment ranges from fusion summary: `20.0-24.0;16.0-20.0;22.0-26.0`.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.","Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: origin,replay,mixer"
phase8f_v1_experimental,phase7c1_collection_manifest_000002_ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,ai_synthetic,mixer_channel_processed,phase7c1,train,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,true,acoustic,0.9574010229662836,0.75,elevated_mixer_channel_indicator,high,phase8e1 oof mean file probability,false,,,,,,not_evaluated,not_evaluated,,axis not available for this retrospective OOF fusion record,suspicious_mixer_channel_experimental,high,true,mixer_channel_evidence_review,origin=not_evaluated|replay=not_evaluated|mixer=high|partial=not_evaluated|status=suspicious_mixer_channel_experimental|risk=high,Experimental status `suspicious_mixer_channel_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_mixer_channel_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Replay evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Mixer/channel evidence strength: `high` (mixer indicators do not imply AI-generated origin).
- Partial fabrication evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.

No segment candidate ranges are available for this file.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.","Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: origin,replay,partial"
phase8f_v1_experimental,phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,ai_synthetic,replay_rerecorded,phase7c1,train,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,true,acoustic,0.9916796088740796,0.65,elevated_replay_rerecording_indicator,high,phase8e1 oof mean file probability,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,,,not_evaluated,not_evaluated,,axis not available for this retrospective OOF fusion record,suspicious_replay_experimental,high,true,replay_rerecording_evidence_review,origin=not_evaluated|replay=high|mixer=not_evaluated|partial=not_evaluated|status=suspicious_replay_experimental|risk=high,Experimental status `suspicious_replay_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_replay_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Replay evidence strength: `high` (replay does not imply AI-generated origin).
- Mixer/channel evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Partial fabrication evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.

No segment candidate ranges are available for this file.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.","Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: origin,mixer,partial"
phase8f_v1_experimental,phase7c1_collection_manifest_000004_human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,human,clean,phase7c1,train,true,ssl,0.0003533744161313,0.2,low_indicator,low,phase8e1 oof mean file probability,true,acoustic,0.2649576024170463,0.65,low_indicator,low,phase8e1 oof mean file probability,true,acoustic,0.3276832982682154,0.75,low_indicator,low,phase8e1 oof mean file probability,false,,,,,,not_evaluated,not_evaluated,,axis not available for this retrospective OOF fusion record,accept_human_clean_experimental,low,false,none,origin=low|replay=low|mixer=low|partial=not_evaluated|status=accept_human_clean_experimental|risk=low,Experimental status `accept_human_clean_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `accept_human_clean_experimental` with risk level `low`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `low` (experimental model output).
- Replay evidence strength: `low` (replay does not imply AI-generated origin).
- Mixer/channel evidence strength: `low` (mixer indicators do not imply AI-generated origin).
- Partial fabrication evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.

No segment candidate ranges are available for this file.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review may still be helpful.",Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: partial
phase8f_v1_experimental,phase7c1_collection_manifest_000005_human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,mixed,edited_spliced;partial_fabrication,phase7c1,train,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,true,combined,0.9999945900660262,0.2448072719786725,7.0,5.0,elevated_partial_fabrication_indicator,high,14.0-18.0;16.0-20.0;18.0-22.0,from phase8e3 segment OOF and e2 candidate table,suspicious_partial_fabrication_experimental,high,true,partial_segment_evidence_review,origin=not_evaluated|replay=not_evaluated|mixer=not_evaluated|partial=high|status=suspicious_partial_fabrication_experimental|risk=high,Experimental status `suspicious_partial_fabrication_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_partial_fabrication_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Replay evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Mixer/channel evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Partial fabrication evidence strength: `high` (timestamp/segment based candidate evidence).

Candidate segment ranges from fusion summary: `14.0-18.0;16.0-20.0;18.0-22.0`.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.","Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: origin,replay,mixer"
phase8f_v1_experimental,phase7c1_collection_manifest_000006_human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,human,mixer_channel_processed,phase7c1,train,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,true,acoustic,0.9992086139941638,0.75,elevated_mixer_channel_indicator,high,phase8e1 oof mean file probability,false,,,,,,not_evaluated,not_evaluated,,axis not available for this retrospective OOF fusion record,suspicious_mixer_channel_experimental,high,true,mixer_channel_evidence_review,origin=not_evaluated|replay=not_evaluated|mixer=high|partial=not_evaluated|status=suspicious_mixer_channel_experimental|risk=high,Experimental status `suspicious_mixer_channel_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_mixer_channel_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Replay evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Mixer/channel evidence strength: `high` (mixer indicators do not imply AI-generated origin).
- Partial fabrication evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.

No segment candidate ranges are available for this file.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.","Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: origin,replay,partial"
phase8f_v1_experimental,phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,human,replay_rerecorded,phase7c1,train,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,true,acoustic,0.9941177761803516,0.65,elevated_replay_rerecording_indicator,high,phase8e1 oof mean file probability,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,,,not_evaluated,not_evaluated,,axis not available for this retrospective OOF fusion record,suspicious_replay_experimental,high,true,replay_rerecording_evidence_review,origin=not_evaluated|replay=high|mixer=not_evaluated|partial=not_evaluated|status=suspicious_replay_experimental|risk=high,Experimental status `suspicious_replay_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_replay_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Replay evidence strength: `high` (replay does not imply AI-generated origin).
- Mixer/channel evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Partial fabrication evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.

No segment candidate ranges are available for this file.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.","Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: origin,mixer,partial"
phase8f_v1_experimental,phase7c1_collection_manifest_000008_ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,ai_synthetic,clean,phase7c1,train,true,ssl,0.9992059357029106,0.2,elevated_ai_origin_indicator,high,phase8e1 oof mean file probability,true,acoustic,0.0021911482834168,0.65,low_indicator,low,phase8e1 oof mean file probability,true,acoustic,0.0039459528050091,0.75,low_indicator,low,phase8e1 oof mean file probability,false,,,,,,not_evaluated,not_evaluated,,axis not available for this retrospective OOF fusion record,suspicious_origin_experimental,high,true,origin_ai_evidence_review,origin=high|replay=low|mixer=low|partial=not_evaluated|status=suspicious_origin_experimental|risk=high,Experimental status `suspicious_origin_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_origin_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `high` (experimental model output).
- Replay evidence strength: `low` (replay does not imply AI-generated origin).
- Mixer/channel evidence strength: `low` (mixer indicators do not imply AI-generated origin).
- Partial fabrication evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.

No segment candidate ranges are available for this file.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.",Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: partial
phase8f_v1_experimental,phase7c1_collection_manifest_000009_ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,mixed,edited_spliced;partial_fabrication,phase7c1,train,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,false,,,,not_evaluated,not_evaluated,axis not available for this retrospective OOF fusion record,true,combined,0.999770129768014,0.2606031432365466,6.0,6.0,elevated_partial_fabrication_indicator,high,34.0-38.0;40.0-44.0;36.0-40.0,from phase8e3 segment OOF and e2 candidate table,suspicious_partial_fabrication_experimental,high,true,partial_segment_evidence_review,origin=not_evaluated|replay=not_evaluated|mixer=not_evaluated|partial=high|status=suspicious_partial_fabrication_experimental|risk=high,Experimental status `suspicious_partial_fabrication_experimental` from multi-axis evidence indicators.,"Experimental multi-axis fusion status is `suspicious_partial_fabrication_experimental` with risk level `high`. This is an evidence indicator and does not by itself prove fabrication.

- Origin evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Replay evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Mixer/channel evidence strength: `not_evaluated`. This evidence axis was not evaluated in the current retrospective fusion record. No conclusion is drawn from this missing axis.
- Partial fabrication evidence strength: `high` (timestamp/segment based candidate evidence).

Candidate segment ranges from fusion summary: `34.0-38.0;40.0-44.0;36.0-40.0`.

These outputs are experimental model outputs across separate evidence axes. They are consistent with candidate forensic patterns but do not by themselves prove or disprove fabrication. Manual review is recommended when evidence is borderline, conflicting, or incomplete.

Final note: manual review recommended.","Experimental multi-axis evidence indicator only; does not by itself prove fabrication. Missing retrospective OOF axes: origin,replay,mixer"
