sample_id,audio_path,base_id,variant_id,speaker_id,speaker_gender,language,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,split,split_group_id,prediction,confidence,decision_score,effective_threshold,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,n_chunks_used,n_chunks_total,suspicious_chunk_count,suspicious_chunk_ratio,max_chunk_spoof,mean_chunk_spoof,median_chunk_spoof,dominant_chunk_attack,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,partial_region_detected,baseline_status,final_baseline_interpretation,error
human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,base_001,human_clean,speaker_001,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_001,FAKE,0.7692307692307693,0.7692307692307693,0.7,synthesis,0.8525853753089905,0.1446649730205536,0.8525853753089905,0.0007345638587139,0.0020150886848568,13,13,10,0.7692307692307693,0.9954615235328674,0.761433142882127,0.8972460627555847,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.769).,
human_007_clean,data/phase7c1/raw/human_clean/human_007_clean.wav,base_007,human_clean,speaker_007,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_007,FAKE,1.0,1.0,0.7,synthesis,0.98587304353714,0.0139632206410169,0.98587304353714,0.0001559451047796,7.703087248955853e-06,10,10,10,1.0,1.0,0.9377241551876068,0.9660987257957458,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_008_clean,data/phase7c1/raw/human_clean/human_008_clean.wav,base_008,human_clean,speaker_008,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_008,FAKE,0.8,0.8,0.7,synthesis,0.8411691784858704,0.1586098968982696,0.8411691784858704,0.0001726794871501,4.8282603529514745e-05,5,5,4,0.8,0.998210906982422,0.7905158579349518,0.9694111943244934,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.800).,
human_010_clean,data/phase7c1/raw/human_clean/human_010_clean.wav,base_010,human_clean,speaker_010,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_010,FAKE,1.0,1.0,0.7,synthesis,0.9985157251358032,0.0014824104728177,0.9985157251358032,1.9069727841269923e-06,5.8508939915213895e-09,10,11,10,1.0,0.9999816417694092,0.9953372240066528,0.999663472175598,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_019_clean,data/phase7c1/raw/human_clean/human_019_clean.wav,base_019,human_clean,speaker_019,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,val,base_019,FAKE,0.7857142857142857,0.7857142857142857,0.7,synthesis,0.8950866460800171,0.1026721373200416,0.8950866460800171,0.0010167771251872,0.0012244743993505,14,14,11,0.7857142857142857,0.9998655319213868,0.7799019345215389,0.9295684099197388,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.786).,
human_020_clean,data/phase7c1/raw/human_clean/human_020_clean.wav,base_020,human_clean,speaker_020,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,test,base_020,FAKE,1.0,1.0,0.7,synthesis,0.9946948885917664,0.0044026398099958,0.9946948885917664,1.591255931998603e-05,0.0008865121635608,15,15,15,1.0,1.0,0.9862218578656514,0.9991540908813475,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_022_clean,data/phase7c1/raw/human_clean/human_022_clean.wav,base_022,human_clean,speaker_022,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,test,base_022,FAKE,0.75,0.75,0.7,synthesis,0.8621478080749512,0.1318265050649643,0.8621478080749512,0.0006379259866662,0.0053877788595855,12,12,9,0.75,0.9993320107460022,0.7482732981443405,0.8923875987529755,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.750).,
ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,base_002,ai_direct,speaker_002,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_002,REAL,1.0,0.0,0.7,bonafide,0.8563957810401917,0.8563957810401917,0.1427989304065704,0.0005380684742704,0.000267189607257,13,13,0,0.0,0.5991040468215942,0.0696650902362295,0.000164746568771,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_004_direct,data/phase7c1/raw/ai_direct/ai_004_direct.wav,base_004,ai_direct,speaker_004,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_004,REAL,0.875,0.125,0.7,bonafide,0.8057634830474854,0.8057634830474854,0.1938572227954864,4.619639730663039e-05,0.0003330580366309,16,16,2,0.125,0.944587230682373,0.1353376193910094,0.0027345072012394,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.125).",
ai_006_direct,data/phase7c1/raw/ai_direct/ai_006_direct.wav,base_006,ai_direct,speaker_006,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_006,REAL,1.0,0.0,0.7,bonafide,0.899804949760437,0.899804949760437,0.0994966328144073,0.0001195337899844,0.0005788801354356,16,16,0,0.0,0.1625128984451294,0.0225298794550781,0.0045958650298416,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_009_direct,data/phase7c1/raw/ai_direct/ai_009_direct.wav,base_009,ai_direct,speaker_009,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_009,REAL,0.9285714285714286,0.0714285714285714,0.7,bonafide,0.9125005602836608,0.9125005602836608,0.0872901082038879,0.0001545581471873,5.470907854032703e-05,14,14,1,0.0714285714285714,0.7373473048210144,0.056835648231759,0.0004260949135641,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.071).",
ai_010_direct,data/phase7c1/raw/ai_direct/ai_010_direct.wav,base_010,ai_direct,speaker_010,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_010,REAL,1.0,0.0,0.7,bonafide,0.9153919219970704,0.9153919219970704,0.0843827649950981,5.557099484576611e-06,0.0002196891291532,14,14,0,0.0,0.4945070445537567,0.0383192595138278,0.0003875088950735,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_011_direct,data/phase7c1/raw/ai_direct/ai_011_direct.wav,base_011,ai_direct,speaker_011,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_011,REAL,1.0,0.0,0.7,bonafide,0.9991130232810974,0.9991130232810974,0.000886951747816,2.036591695286916e-08,1.007570293865001e-08,12,12,0,0.0,0.0007763300091028,8.871706779356625e-05,2.610929694668584e-09,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
